년도,행정구역읍면동코드,행정구역읍면동명,노인인구수,노인인구증감율,미성년자인구수,미성년자인구증감율,여자인구수,여자인구수증감율
2021,11,서울특별시,1597447,2.33,1339819,-4.68,4891418,-1.52
2021,11110,종로구,27609,-2.48,17365,-6.34,74500,-2.93
2021,1111051500,청운효자동,2148,-3.68,1886,-5.32,6452,-3.01
2021,1111053000,사직동,1754,-4.1,1233,-2.99,5172,-1.71
2021,1111054000,삼청동,601,-7.82,273,-7.77,1288,-5.85
2021,1111055000,부암동,1794,-2.02,1351,-8.72,5009,-4.59
2021,1111056000,평창동,3418,1.03,2727,-3.13,9695,-1.48
2021,1111057000,무악동,1424,-2.47,1621,-5.09,4418,-3.26
2021,1111058000,교남동,1619,-1.1,1614,-6.16,5412,-3.86
2021,1111060000,가회동,862,-7.51,491,-9.74,2204,-5.2
2021,1111061500,종로1.2.3.4가동,1921,-1.74,410,3.27,2946,1.45
2021,1111063000,종로5.6가동,1051,-5.66,304,-12.89,2369,-1.46
2021,1111064000,이화동,1356,-3.9,582,-12.35,3812,-5.2
2021,1111065000,혜화동,2689,-0.85,1893,-5.44,8479,-2.65
2021,1111067000,창동,1223,-2.86,345,-7.26,2265,-3.78
2021,1111068000,창동,1719,-2.5,633,-15.82,3829,-5.11
2021,1111069000,창동,1198,-3.31,828,-9.11,3333,-5.5
2021,1111070000,숭인동,1186,-1.9,583,-10.03,3026,-2.95
2021,1111071000,숭인동,1646,-2.89,591,-4.52,4791,0.19
2021,11140,중구,24037,-0.57,12773,-6.14,62869,-1.79
2021,1114052000,소공동,249,0.81,294,5.38,1173,12.57
2021,1114054000,회현동,1304,-12.07,389,-1.27,2296,-4.97
2021,1114055000,명동,723,-2.95,209,-2.34,1622,-2.99
2021,1114057000,필동,895,3.59,363,0.55,1978,1.38
2021,1114058000,장충동,850,1.55,417,-11.84,2239,-2.86
2021,1114059000,광희동,1086,-9.42,311,-6.04,2567,1.87
2021,1114060500,을지로동,458,-10.55,68,-20.0,690,-4.17
2021,1114061500,신당동,1447,2.19,525,-6.91,3891,1.25
2021,1114062500,다산동,2748,3.54,1278,-8.78,7086,-3.41
2021,1114063500,약수동,3805,0.58,1927,-7.18,8926,-1.5
2021,1114064500,청구동,2718,0.78,1548,-6.63,7150,-3.22
2021,1114065000,신당동,1810,2.14,1062,-5.52,5312,-1.72
2021,1114066500,동화동,1886,0.69,1461,-8.57,5310,-3.68
2021,1114067000,황학동,2001,0.65,1198,-4.47,6579,0.0
2021,1114068000,중림동,2057,-2.23,1723,-4.12,6050,-3.45
2021,11170,용산구,38552,-3.08,27345,-6.05,115743,-3.0
2021,1117051000,후암동,2986,-2.51,2052,-8.27,8622,-5.3
2021,1117052000,용산2가동,2011,-3.46,806,-10.24,4887,-5.55
2021,1117053000,남영동,1521,-6.28,432,-4.42,2880,-3.42
2021,1117055500,청파동,3270,-2.62,1673,-9.08,10357,-1.4
2021,1117056000,원효로제1동,1951,-1.32,2154,-1.46,8368,0.32
2021,1117057000,원효로제2동,2300,-4.88,2000,-9.05,7273,-3.35
2021,1117058000,창동,1487,2.13,1443,-5.99,5289,-1.53
2021,1117059000,용문동,2143,0.75,1427,-11.31,6188,-4.03
2021,1117062500,한강로동,3159,-3.51,2229,5.19,11429,7.96
2021,1117063000,이촌제1동,4299,-5.12,5200,-8.0,13774,-8.09
2021,1117064000,이촌제2동,1787,0.0,1013,-5.94,4414,-4.58
2021,1117065000,이태원제1동,1349,-15.05,482,-7.13,3282,-9.66
